Date,Close/Last,Volume,Open,High,Low
06/16/2021,356.13,N/A,361.39,357.09,346.18
06/15/2021,361.64,N/A,372.36,366.77,357.58
06/14/2021,372.71,N/A,359.27,374.19,367.08
06/13/2021,357.58,N/A,338.72,368.17,356.96
06/12/2021,338.79,N/A,332.22,348.4,337.7
06/11/2021,328.05,N/A,355.78,346.07,327.34
06/10/2021,354.84,N/A,369.61,355.44,342.02
06/09/2021,369.91,N/A,341.61,376.81,367.02
06/08/2021,341.34,N/A,346.29,353.93,333.69
06/07/2021,345.92,N/A,399.23,365.89,332.03
06/06/2021,399.19,N/A,398.06,406.99,390.47
06/05/2021,392.32,N/A,412.46,399.77,387.18
06/04/2021,410.64,N/A,406.32,415.05,388.13
06/03/2021,409.11,N/A,393.57,428.71,394.86
